ID_Producto,nombre_limpio,cantidad_base,unidad_base,categoria_base
4216638,LECHE EN POLVO DESCREMADA SVELTY BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4226957,LECHE EN POLVO DESCREMADA SVELTY EXTRA CALCIO BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4232839,LECHE EN POLVO DESCREMADA TKF 0% GRASA BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4254191,LECHE EN POLVO DESCREMADA TKF BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4232856,LECHE EN POLVO DESCREMADA TKF BOLSA 350 G UNIDAD,"350,00",g,LACTEOS
4232975,LECHE EN POLVO DESCREMADA TKF BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4242478,LECHE EN POLVO ENTERA ALCAFOOD 26% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4242495,LECHE EN POLVO ENTERA ALCAFOOD 26% MG BOLSA 110 G UNIDAD,"110,00",g,LACTEOS
4219613,LECHE EN POLVO ENTERA ALCAFOOD 26% MG BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4247034,LECHE EN POLVO ENTERA ALCAFOOD BOLSA 400 G UNIDAD,"400,00",g,LACTEOS
4247051,LECHE EN POLVO ENTERA ALCAFOOD BOLSA 720 G UNIDAD,"720,00",g,LACTEOS
4247068,LECHE EN POLVO ENTERA ALCAFOOD BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4319899,LECHE EN POLVO ENTERA CALO BOLSA 1440 G UNIDAD,"1440,00",g,LACTEOS
4269797,LECHE EN POLVO ENTERA COLUN 26% MG BOLSA 110 G UNIDAD,"110,00",g,LACTEOS
4225019,LECHE EN POLVO ENTERA COLUN 26% MG BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4320580,LECHE EN POLVO ENTERA COLUN BOLSA 1440 G UNIDAD,"1440,00",g,LACTEOS
4320597,LECHE EN POLVO ENTERA COLUN BOLSA 400 G UNIDAD,"400,00",g,LACTEOS
4241968,LECHE EN POLVO ENTERA COLUN BOLSA 720 G UNIDAD,"720,00",g,LACTEOS
4198958,LECHE EN POLVO ENTERA COLUN BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4233536,LECHE EN POLVO ENTERA DAFF 26% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4242274,LECHE EN POLVO ENTERA DAFOOD 26% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4249482,LECHE EN POLVO ENTERA DAFOOD 26% MG BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4223540,LECHE EN POLVO ENTERA DAFOOD BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4200607,LECHE EN POLVO ENTERA MACROFOOD CHILE 26% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4207526,LECHE EN POLVO ENTERA MACROFOOD CHILE 26% MG BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4228555,LECHE EN POLVO ENTERA MACROFOOD CHILE BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4267230,LECHE EN POLVO ENTERA NAN 26% MG BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4202409,LECHE EN POLVO ENTERA NIDO BOLSA 1440 G UNIDAD,"1440,00",g,LACTEOS
